country,year,vehicle_condition,body_scope,year_total,source_file,page,Jan,Feb,Mar,Apl,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,sum_check,sum_matches_year_total
U.S.A.,2024,New,All Vehicles,1350690,ALL DATA (NEW VEHICLE)2024.pdf,1,90047,117927,107663,110682,104760,117323,125124,94147,115167,118004,111538,138308,1350690,True
AUSTRALIA,2024,New,All Vehicles,419767,ALL DATA (NEW VEHICLE)2024.pdf,1,28432,28611,36485,32415,32669,39319,32888,31591,40014,38106,43037,36200,419767,True
CANADA,2024,New,All Vehicles,231662,ALL DATA (NEW VEHICLE)2024.pdf,1,18329,20869,19382,21746,17540,22937,20303,15226,19924,20821,15947,18638,231662,True
CHINA,2024,New,All Vehicles,197322,ALL DATA (NEW VEHICLE)2024.pdf,1,13285,15082,16058,18141,15862,17813,20949,13163,15281,16121,16625,18942,197322,True
SAUDI ARABIA,2024,New,All Vehicles,181636,ALL DATA (NEW VEHICLE)2024.pdf,1,11055,9829,13684,12374,7773,12848,19015,15512,18542,17251,23867,19886,181636,True
U.A.E.,2024,New,All Vehicles,124898,ALL DATA (NEW VEHICLE)2024.pdf,1,7834,9338,11819,8913,7938,9745,8138,7727,14731,14687,11034,12994,124898,True
U.K.,2024,New,All Vehicles,115488,ALL DATA (NEW VEHICLE)2024.pdf,1,8515,9949,6650,10650,6340,10108,12091,6672,8175,11806,10212,14320,115488,True
MEXICO,2024,New,All Vehicles,93171,ALL DATA (NEW VEHICLE)2024.pdf,1,5407,6937,4280,7648,5729,9192,8987,10113,9970,10512,7193,7203,93171,True
TAIWAN,2024,New,All Vehicles,92716,ALL DATA (NEW VEHICLE)2024.pdf,1,7263,8080,6822,9909,6939,9002,8026,5073,7204,7846,10426,6126,92716,True
GERMANY,2024,New,All Vehicles,81034,ALL DATA (NEW VEHICLE)2024.pdf,1,9455,9385,8517,7205,3352,4477,7452,5969,5936,6971,5953,6362,81034,True
POLAND,2024,New,All Vehicles,63524,ALL DATA (NEW VEHICLE)2024.pdf,1,5277,6474,5427,5536,2905,4946,5572,3825,5617,8571,5177,4197,63524,True
BELGIUM,2024,New,All Vehicles,61701,ALL DATA (NEW VEHICLE)2024.pdf,1,5983,8622,6105,6154,2442,3845,3218,2706,5246,5253,4517,7610,61701,True
ITALY,2024,New,All Vehicles,56760,ALL DATA (NEW VEHICLE)2024.pdf,1,7732,8470,5517,5052,3188,3579,3379,2480,4845,3876,3297,5345,56760,True
ISRAEL,2024,New,All Vehicles,52687,ALL DATA (NEW VEHICLE)2024.pdf,1,1001,1965,3336,6828,5275,8844,5258,4573,2675,4555,4084,4293,52687,True
SPAIN,2024,New,All Vehicles,50510,ALL DATA (NEW VEHICLE)2024.pdf,1,3795,5898,3879,7103,2804,2593,4087,3054,2543,5021,4971,4762,50510,True
NEW ZEALAND,2024,New,All Vehicles,47097,ALL DATA (NEW VEHICLE)2024.pdf,1,2751,3046,4764,4420,2684,4566,3280,3703,3079,4505,6263,4036,47097,True
KUWAIT,2024,New,All Vehicles,43417,ALL DATA (NEW VEHICLE)2024.pdf,1,1934,2800,3448,3116,3147,3960,3493,3704,4207,5296,3636,4676,43417,True
FRANCE,2024,New,All Vehicles,42929,ALL DATA (NEW VEHICLE)2024.pdf,1,2945,4493,2992,2388,4228,2643,3657,5501,3201,3888,3839,3154,42929,True
PHILIPPINES,2024,New,All Vehicles,35823,ALL DATA (NEW VEHICLE)2024.pdf,1,3289,1147,1996,2807,2304,3019,3725,2726,2777,4031,4299,3703,35823,True
NETHERLANDS,2024,New,All Vehicles,30604,ALL DATA (NEW VEHICLE)2024.pdf,1,3981,2008,2068,4249,1084,1861,2484,2060,2957,2237,1238,4377,30604,True
OMAN,2024,New,All Vehicles,30451,ALL DATA (NEW VEHICLE)2024.pdf,1,2161,1429,2429,2395,2333,2196,2551,1745,2552,3819,3831,3010,30451,True
PUERTO RICO,2024,New,All Vehicles,29444,ALL DATA (NEW VEHICLE)2024.pdf,1,1579,898,3913,2191,2154,1786,3085,1889,3438,3343,3012,2156,29444,True
CHILE,2024,New,All Vehicles,25823,ALL DATA (NEW VEHICLE)2024.pdf,1,1531,2463,1892,1786,1305,2422,2520,1877,2254,1996,2509,3268,25823,True
QATAR,2024,New,All Vehicles,25771,ALL DATA (NEW VEHICLE)2024.pdf,1,1355,1795,2570,2282,1881,2311,1858,2119,2344,2541,1737,2978,25771,True
INDONESIA,2024,New,All Vehicles,25178,ALL DATA (NEW VEHICLE)2024.pdf,1,2229,1239,2184,1204,1489,2233,2814,1392,2770,3310,2341,1973,25178,True
Republic of KOREA,2024,New,All Vehicles,23126,ALL DATA (NEW VEHICLE)2024.pdf,2,1239,1953,2229,2070,1653,2091,2062,1647,2118,2512,1460,2092,23126,True
TURKEY,2024,New,All Vehicles,22587,ALL DATA (NEW VEHICLE)2024.pdf,2,1191,1987,1442,1323,2549,2216,1072,967,1903,3051,3228,1658,22587,True
IRAQ,2024,New,All Vehicles,21096,ALL DATA (NEW VEHICLE)2024.pdf,2,1740,1179,2119,2022,1726,2037,1789,1659,1592,1712,1776,1745,21096,True
SWEDEN,2024,New,All Vehicles,19676,ALL DATA (NEW VEHICLE)2024.pdf,2,2213,2469,846,1997,619,1124,1716,1624,1818,3178,851,1221,19676,True
COLOMBIA,2024,New,All Vehicles,16735,ALL DATA (NEW VEHICLE)2024.pdf,2,589,1274,2072,2236,914,1425,1813,1332,1198,1251,1539,1092,16735,True
South AFRICA,2024,New,All Vehicles,15337,ALL DATA (NEW VEHICLE)2024.pdf,2,1070,595,1727,1269,1092,1375,1477,879,1021,1319,1905,1608,15337,True
AUSTRIA,2024,New,All Vehicles,15249,ALL DATA (NEW VEHICLE)2024.pdf,2,1882,1636,2395,1456,267,674,1099,1035,1229,1062,942,1572,15249,True
SINGAPORE,2024,New,All Vehicles,14989,ALL DATA (NEW VEHICLE)2024.pdf,2,580,835,989,967,1144,1067,1429,1066,1641,1821,2203,1247,14989,True
NORWAY,2024,New,All Vehicles,13531,ALL DATA (NEW VEHICLE)2024.pdf,2,1085,740,1791,2009,502,805,1397,577,700,1462,1729,734,13531,True
KAZAKHSTAN,2024,New,All Vehicles,13273,ALL DATA (NEW VEHICLE)2024.pdf,2,1195,1531,1907,1319,674,1506,1289,1155,1115,673,694,215,13273,True
JORDAN,2024,New,All Vehicles,13177,ALL DATA (NEW VEHICLE)2024.pdf,2,1395,615,1196,1134,1117,1126,736,375,1307,1310,1763,1103,13177,True
PERU,2024,New,All Vehicles,12642,ALL DATA (NEW VEHICLE)2024.pdf,2,670,1212,930,1148,841,901,1467,1031,1216,985,1050,1191,12642,True
GUATEMALA,2024,New,All Vehicles,12261,ALL DATA (NEW VEHICLE)2024.pdf,2,492,700,1009,904,895,964,1080,954,1106,1473,1232,1452,12261,True
BAHRAIN,2024,New,All Vehicles,12215,ALL DATA (NEW VEHICLE)2024.pdf,2,687,820,979,840,866,856,737,941,1112,1436,1274,1667,12215,True
SWITZERLAND,2024,New,All Vehicles,11498,ALL DATA (NEW VEHICLE)2024.pdf,2,989,979,1969,962,461,708,1139,787,837,1152,904,611,11498,True
UKRAINE,2024,New,All Vehicles,11409,ALL DATA (NEW VEHICLE)2024.pdf,2,1059,1792,1098,782,160,1377,1410,983,954,745,777,272,11409,True
COSTA RICA,2024,New,All Vehicles,11220,ALL DATA (NEW VEHICLE)2024.pdf,2,837,1049,1249,1064,891,918,1061,823,881,963,632,852,11220,True
HONG KONG,2024,New,All Vehicles,11006,ALL DATA (NEW VEHICLE)2024.pdf,2,1158,1072,884,910,1298,975,923,844,663,1001,643,635,11006,True
DENMARK,2024,New,All Vehicles,10161,ALL DATA (NEW VEHICLE)2024.pdf,2,1170,1180,1368,564,562,537,726,802,895,1140,642,575,10161,True
GEORGIA,2024,New,All Vehicles,9910,ALL DATA (NEW VEHICLE)2024.pdf,2,508,522,782,982,292,1498,1186,419,1544,872,954,351,9910,True
IRELAND,2024,New,All Vehicles,9449,ALL DATA (NEW VEHICLE)2024.pdf,2,699,785,494,1208,572,581,430,385,309,948,1192,1846,9449,True
ROMANIA,2024,New,All Vehicles,9428,ALL DATA (NEW VEHICLE)2024.pdf,2,510,779,448,817,504,788,976,410,1502,862,803,1029,9428,True
